Name,Timestamp,Time,Temperature,Temp Min,Temp Max,Humidity
Angers,1685003610,10:33:30 25-05-2023 ,16.53,15.01,16.53,62.00
Angers,1685003661,10:34:21 25-05-2023 ,16.53,15.01,16.53,62.00
Angers,1685004212,10:43:32 25-05-2023 ,17.64,15.01,17.67,52.00
Angers,1685004263,10:44:23 25-05-2023 ,17.64,15.01,17.67,52.00
Angers,1685004813,10:53:33 25-05-2023 ,17.64,16.01,17.67,52.00
Angers,1685004865,10:54:25 25-05-2023 ,17.64,16.01,17.67,52.00
Angers,1685005415,11:03:35 25-05-2023 ,18.16,15.97,18.22,50.00
Angers,1685005466,11:04:26 25-05-2023 ,18.16,15.97,18.22,50.00
Angers,1685006016,11:13:36 25-05-2023 ,18.18,15.01,18.22,47.00
Angers,1685006068,11:14:28 25-05-2023 ,18.18,15.01,18.22,47.00
Angers,1685006618,11:23:38 25-05-2023 ,18.74,15.01,18.78,45.00
Angers,1685006669,11:24:29 25-05-2023 ,18.74,15.01,18.78,45.00
Angers,1685007219,11:33:39 25-05-2023 ,18.74,15.01,18.78,44.00
Angers,1685007270,11:34:30 25-05-2023 ,18.74,15.01,18.78,44.00
Angers,1685007820,11:43:40 25-05-2023 ,18.74,17.01,18.78,42.00
Angers,1685007871,11:44:31 25-05-2023 ,18.74,17.01,18.78,42.00
Angers,1685008422,11:53:42 25-05-2023 ,19.29,17.01,19.33,42.00
Angers,1685008473,11:54:33 25-05-2023 ,19.29,17.01,19.33,42.00
Angers,1685009024,12:03:44 25-05-2023 ,19.30,17.01,19.33,41.00
Angers,1685009074,12:04:34 25-05-2023 ,19.30,17.01,19.33,41.00
Angers,1685009626,12:13:46 25-05-2023 ,19.29,17.01,19.33,42.00
Angers,1685009676,12:14:36 25-05-2023 ,19.29,17.01,19.33,42.00
Angers,1685010180,12:23:00 25-05-2023 ,19.30,18.01,19.33,41.00
Angers,1685010180,12:23:00 25-05-2023 ,19.30,18.01,19.33,41.00
Angers,1685010180,12:23:00 25-05-2023 ,19.30,18.01,19.33,41.00
Angers,1685010180,12:23:00 25-05-2023 ,19.30,18.01,19.33,41.00
Angers,1685010180,12:23:00 25-05-2023 ,19.30,18.01,19.33,41.00
Angers,1685010847,12:34:07 25-05-2023 ,18.19,18.01,18.19,50.00
Angers,1685010880,12:34:40 25-05-2023 ,18.19,18.01,18.19,50.00
Angers,1685049295,23:14:55 25-05-2023 ,16.01,16.01,16.01,82.00
Angers,1685049897,23:24:57 25-05-2023 ,17.01,17.01,17.01,82.00
