Name,Timestamp,Time,Temperature,Temp Min,Temp Max,Humidity
Nice,1685003610,10:33:30 25-05-2023 ,11.55,9.20,12.82,81.00
Nice,1685003660,10:34:20 25-05-2023 ,11.55,9.20,12.82,81.00
Nice,1685004211,10:43:31 25-05-2023 ,12.07,9.20,13.27,76.00
Nice,1685004262,10:44:22 25-05-2023 ,12.07,9.20,13.27,76.00
Nice,1685004813,10:53:33 25-05-2023 ,12.03,9.20,13.27,76.00
Nice,1685004864,10:54:24 25-05-2023 ,12.03,9.20,13.27,76.00
Nice,1685005414,11:03:34 25-05-2023 ,12.12,8.64,13.83,76.00
Nice,1685005466,11:04:26 25-05-2023 ,12.12,8.64,13.83,76.00
Nice,1685006016,11:13:36 25-05-2023 ,12.12,8.09,13.83,76.00
Nice,1685006067,11:14:27 25-05-2023 ,12.04,8.09,13.83,76.00
Nice,1685006617,11:23:37 25-05-2023 ,11.99,8.09,13.27,76.00
Nice,1685006669,11:24:29 25-05-2023 ,11.99,8.09,13.27,76.00
Nice,1685007219,11:33:39 25-05-2023 ,11.91,8.09,13.27,76.00
Nice,1685007270,11:34:30 25-05-2023 ,11.91,8.09,13.27,76.00
Nice,1685007820,11:43:40 25-05-2023 ,11.64,8.09,13.88,76.00
Nice,1685007871,11:44:31 25-05-2023 ,11.64,8.09,13.88,76.00
Nice,1685008421,11:53:41 25-05-2023 ,12.11,8.09,13.88,76.00
Nice,1685008472,11:54:32 25-05-2023 ,12.11,8.09,13.88,76.00
Nice,1685009023,12:03:43 25-05-2023 ,12.01,8.22,13.88,76.00
Nice,1685009074,12:04:34 25-05-2023 ,12.01,8.22,13.88,76.00
Nice,1685009625,12:13:45 25-05-2023 ,11.83,8.22,13.88,76.00
Nice,1685009675,12:14:35 25-05-2023 ,11.83,8.22,13.88,76.00
Nice,1685010180,12:23:00 25-05-2023 ,11.89,7.66,13.88,76.00
Nice,1685010180,12:23:00 25-05-2023 ,11.89,7.66,13.88,76.00
Nice,1685010180,12:23:00 25-05-2023 ,11.89,7.66,13.88,76.00
Nice,1685010618,12:30:18 25-05-2023 ,11.81,7.66,13.88,76.00
Nice,1685010669,12:31:09 25-05-2023 ,11.81,7.66,13.88,76.00
Nice,1685010846,12:34:06 25-05-2023 ,11.81,7.66,13.88,76.00
Nice,1685010846,12:34:06 25-05-2023 ,11.81,7.66,13.88,76.00
Nice,1685049289,23:14:49 25-05-2023 ,10.09,7.11,11.71,74.00
Nice,1685049896,23:24:56 25-05-2023 ,9.71,6.55,11.71,74.00
