Name,Timestamp,Time,Temperature,Temp Min,Temp Max,Humidity
Rennes,1685003610,10:33:30 25-05-2023 ,16.21,15.32,16.65,67.00
Rennes,1685003661,10:34:21 25-05-2023 ,16.21,15.32,16.65,67.00
Rennes,1685004212,10:43:32 25-05-2023 ,16.21,15.32,16.65,67.00
Rennes,1685004263,10:44:23 25-05-2023 ,16.21,15.32,16.65,67.00
Rennes,1685004813,10:53:33 25-05-2023 ,17.24,14.76,17.76,63.00
Rennes,1685004865,10:54:25 25-05-2023 ,17.24,14.76,17.76,63.00
Rennes,1685005415,11:03:35 25-05-2023 ,17.24,14.76,17.76,63.00
Rennes,1685005467,11:04:27 25-05-2023 ,17.24,14.76,17.76,63.00
Rennes,1685006017,11:13:37 25-05-2023 ,17.24,15.32,17.76,63.00
Rennes,1685006068,11:14:28 25-05-2023 ,17.24,15.32,17.76,63.00
Rennes,1685006618,11:23:38 25-05-2023 ,17.24,15.32,17.76,59.00
Rennes,1685006669,11:24:29 25-05-2023 ,17.24,15.32,17.76,59.00
Rennes,1685007219,11:33:39 25-05-2023 ,17.24,15.88,17.76,59.00
Rennes,1685007270,11:34:30 25-05-2023 ,17.24,15.88,17.76,59.00
Rennes,1685007820,11:43:40 25-05-2023 ,17.07,16.43,17.20,59.00
Rennes,1685007872,11:44:32 25-05-2023 ,17.07,16.43,17.20,59.00
Rennes,1685008422,11:53:42 25-05-2023 ,16.91,16.65,17.02,67.00
Rennes,1685008473,11:54:33 25-05-2023 ,16.91,16.65,17.02,67.00
Rennes,1685009024,12:03:44 25-05-2023 ,16.91,16.65,17.02,67.00
Rennes,1685009074,12:04:34 25-05-2023 ,16.91,16.65,17.02,67.00
Rennes,1685009626,12:13:46 25-05-2023 ,17.24,16.99,17.76,67.00
Rennes,1685009676,12:14:36 25-05-2023 ,17.24,16.99,17.76,67.00
Rennes,1685010181,12:23:01 25-05-2023 ,17.40,16.43,18.31,59.00
Rennes,1685010181,12:23:01 25-05-2023 ,17.40,16.43,18.31,59.00
Rennes,1685010181,12:23:01 25-05-2023 ,17.40,16.43,18.31,59.00
Rennes,1685010181,12:23:01 25-05-2023 ,17.40,16.43,18.31,59.00
Rennes,1685010181,12:23:01 25-05-2023 ,17.40,16.43,18.31,59.00
Rennes,1685010847,12:34:07 25-05-2023 ,17.57,16.43,18.87,59.00
Rennes,1685010880,12:34:40 25-05-2023 ,17.57,16.43,18.87,59.00
Rennes,1685049295,23:14:55 25-05-2023 ,15.71,13.65,16.02,67.00
Rennes,1685049897,23:24:57 25-05-2023 ,14.84,13.65,15.02,72.00
