Name,Timestamp,Time,Temperature,Temp Min,Temp Max,Humidity
Toulouse,1685003609,10:33:29 25-05-2023 ,16.99,15.98,16.99,67.00
Toulouse,1685003658,10:34:18 25-05-2023 ,16.99,15.98,16.99,67.00
Toulouse,1685004211,10:43:31 25-05-2023 ,17.09,15.98,18.23,67.00
Toulouse,1685004261,10:44:21 25-05-2023 ,17.09,15.98,18.23,67.00
Toulouse,1685004812,10:53:32 25-05-2023 ,18.01,16.54,18.23,63.00
Toulouse,1685004864,10:54:24 25-05-2023 ,18.01,16.54,18.23,63.00
Toulouse,1685005414,11:03:34 25-05-2023 ,18.05,17.09,18.78,63.00
Toulouse,1685005465,11:04:25 25-05-2023 ,18.05,17.09,18.78,63.00
Toulouse,1685006015,11:13:35 25-05-2023 ,18.05,17.09,18.78,63.00
Toulouse,1685006067,11:14:27 25-05-2023 ,18.05,17.09,18.78,63.00
Toulouse,1685006617,11:23:37 25-05-2023 ,18.05,17.65,18.78,63.00
Toulouse,1685006668,11:24:28 25-05-2023 ,18.05,17.65,18.78,63.00
Toulouse,1685007218,11:33:38 25-05-2023 ,18.05,17.65,18.78,63.00
Toulouse,1685007269,11:34:29 25-05-2023 ,18.05,17.65,18.78,63.00
Toulouse,1685007819,11:43:39 25-05-2023 ,18.01,17.99,18.23,63.00
Toulouse,1685007871,11:44:31 25-05-2023 ,18.01,17.99,18.23,63.00
Toulouse,1685008421,11:53:41 25-05-2023 ,18.94,18.20,18.99,55.00
Toulouse,1685008472,11:54:32 25-05-2023 ,18.94,18.20,18.99,55.00
Toulouse,1685009023,12:03:43 25-05-2023 ,18.98,18.20,18.99,55.00
Toulouse,1685009073,12:04:33 25-05-2023 ,18.98,18.20,18.99,55.00
Toulouse,1685009625,12:13:45 25-05-2023 ,18.98,18.20,18.99,55.00
Toulouse,1685009675,12:14:35 25-05-2023 ,18.98,18.20,18.99,55.00
Toulouse,1685010180,12:23:00 25-05-2023 ,19.90,18.20,19.99,52.00
Toulouse,1685010356,12:25:56 25-05-2023 ,19.95,18.20,19.99,52.00
Toulouse,1685010407,12:26:47 25-05-2023 ,19.95,18.20,19.99,52.00
Toulouse,1685010407,12:26:47 25-05-2023 ,19.95,18.20,19.99,52.00
Toulouse,1685010407,12:26:47 25-05-2023 ,19.95,18.20,19.99,52.00
Toulouse,1685010845,12:34:05 25-05-2023 ,19.95,18.20,19.99,52.00
Toulouse,1685010845,12:34:05 25-05-2023 ,19.95,18.20,19.99,52.00
Toulouse,1685049288,23:14:48 25-05-2023 ,14.99,11.01,14.99,77.00
Toulouse,1685049895,23:24:55 25-05-2023 ,14.99,11.01,14.99,77.00
